iter	Passed	Remaining
464	755	868
465	756	866
466	757	864
467	758	862
468	759	860
469	761	858
470	762	856
471	763	853
472	764	851
473	766	850
474	767	847
475	768	845
476	769	843
477	770	841
478	771	839
479	773	837
480	774	835
481	775	833
482	776	831
483	777	829
484	778	827
485	780	825
486	781	823
487	782	821
488	783	819
489	785	817
490	786	815
491	787	813
492	788	811
493	789	808
494	790	806
495	792	804
496	793	802
497	794	800
498	795	799
499	797	797
500	798	795
501	799	792
502	800	791
503	801	789
504	803	787
505	804	785
506	805	783
507	806	781
508	807	779
509	809	777
510	810	775
511	811	773
512	813	771
513	814	769
514	815	767
515	816	765
516	817	763
517	819	762
518	820	760
519	822	758
520	823	757
521	824	755
522	826	753
523	827	751
524	828	749
525	830	748
526	831	746
527	832	744
528	834	742
529	835	741
530	836	739
531	838	737
532	839	735
533	841	734
534	842	732
535	844	730
536	845	728
537	846	727
538	848	725
539	849	723
540	850	721
541	852	720
542	853	718
543	855	716
544	856	715
545	857	713
546	859	711
547	860	709
548	861	708
549	863	706
550	864	704
551	865	702
552	867	700
553	868	699
554	870	697
555	871	696
556	872	694
557	874	692
558	875	690
559	876	688
560	878	687
561	879	685
562	880	683
563	882	682
564	883	680
565	885	678
566	886	677
567	887	675
568	889	673
569	890	671
570	891	669
571	892	668
572	894	666
573	895	664
574	896	662
575	897	660
576	899	659
577	900	657
578	902	656
579	903	654
580	904	652
581	906	650
582	907	649
583	908	647
584	909	645
585	911	643
586	912	642
587	914	640
588	915	638
589	917	637
590	918	635
591	919	633
592	921	632
593	922	630
594	923	628
595	925	627
596	926	625
597	928	623
598	929	622
599	931	620
600	932	618
601	933	617
602	935	615
603	936	613
604	937	612
605	938	610
606	939	608
607	941	606
608	942	605
609	943	603
610	945	601
611	946	600
612	947	598
613	948	596
614	950	594
615	951	593
616	952	591
617	953	589
618	955	587
619	956	586
620	958	584
621	959	583
622	960	581
623	961	579
624	963	577
625	964	576
626	965	574
627	967	572
628	968	571
629	969	569
630	970	567
631	971	565
632	973	564
633	974	562
634	975	560
635	977	559
636	978	557
637	979	555
638	980	553
639	981	552
640	982	550
641	983	548
642	985	546
643	986	545
644	987	543
645	988	541
646	989	540
647	991	538
648	992	536
649	993	534
650	994	533
651	995	531
652	997	529
653	998	528
654	999	526
655	1000	524
656	1001	522
657	1003	521
658	1004	519
659	1005	517
660	1006	516
661	1007	514
662	1008	512
663	1009	511
664	1011	509
665	1012	507
666	1013	505
667	1014	504
668	1015	502
669	1016	500
670	1018	499
671	1019	497
672	1020	495
673	1021	494
674	1023	492
675	1024	490
676	1025	489
677	1026	487
678	1027	485
679	1028	484
680	1030	482
681	1031	480
682	1032	479
683	1033	477
684	1035	475
685	1036	474
686	1037	472
687	1038	471
688	1039	469
689	1041	467
690	1042	466
691	1043	464
692	1044	462
693	1045	461
694	1047	459
695	1048	458
696	1049	456
697	1051	454
698	1052	453
699	1053	451
700	1054	449
701	1055	448
702	1056	446
703	1057	444
704	1059	443
705	1060	441
706	1061	440
707	1063	438
708	1064	436
709	1065	435
710	1066	433
711	1068	432
712	1069	430
713	1070	428
714	1071	427
715	1073	425
716	1074	424
717	1075	422
718	1076	420
719	1078	419
720	1079	417
721	1080	416
722	1082	414
723	1083	412
724	1084	411
725	1086	409
726	1087	408
727	1088	406
728	1089	405
729	1091	403
730	1093	402
731	1094	400
732	1095	399
733	1096	397
734	1098	395
735	1099	394
736	1100	392
737	1102	391
738	1103	389
739	1104	388
740	1106	386
741	1107	385
742	1109	383
743	1110	382
744	1111	380
745	1113	379
746	1114	377
747	1115	375
748	1117	374
749	1118	372
750	1119	371
751	1121	369
752	1122	368
753	1123	366
754	1125	365
755	1126	363
756	1127	362
757	1128	360
758	1130	358
759	1131	357
760	1132	355
761	1133	354
762	1134	352
763	1136	350
764	1137	349
765	1138	347
766	1139	346
767	1141	344
768	1142	343
769	1143	341
770	1144	340
771	1145	338
772	1147	336
773	1148	335
774	1149	333
775	1150	332
776	1151	330
777	1153	329
778	1154	327
779	1155	326
780	1157	324
781	1158	322
782	1159	321
783	1160	319
784	1162	318
785	1163	316
786	1164	315
787	1165	313
788	1166	312
789	1168	310
790	1169	309
791	1170	307
792	1172	305
793	1173	304
794	1174	302
795	1175	301
796	1176	299
797	1177	298
798	1179	296
799	1180	295
800	1181	293
801	1183	292
802	1184	290
803	1185	288
804	1186	287
805	1188	285
806	1189	284
807	1190	282
808	1191	281
809	1192	279
810	1193	278
811	1195	276
812	1196	275
813	1197	273
814	1198	272
815	1200	270
816	1201	269
817	1202	267
818	1204	266
819	1205	264
820	1207	263
821	1208	261
822	1209	260
823	1211	258
824	1212	257
825	1214	255
826	1215	254
827	1216	252
828	1218	251
829	1219	249
830	1220	248
831	1222	246
832	1223	245
833	1224	243
834	1225	242
835	1227	240
836	1229	239
837	1230	237
838	1232	236
839	1233	234
840	1234	233
841	1235	231
842	1237	230
843	1238	228
844	1240	227
845	1241	225
846	1242	224
847	1243	222
848	1244	221
849	1246	219
850	1247	218
851	1248	216
852	1249	215
853	1250	213
854	1252	212
855	1253	210
856	1254	209
857	1255	207
858	1257	206
859	1258	204
860	1259	203
861	1260	201
862	1261	200
863	1262	198
864	1263	197
865	1265	195
866	1266	194
867	1267	192
868	1269	191
869	1270	189
870	1271	188
871	1272	186
872	1273	185
873	1274	183
874	1276	182
875	1277	180
876	1278	179
877	1279	177
878	1280	176
879	1282	174
880	1283	173
881	1284	171
882	1285	170
883	1286	168
884	1287	167
885	1289	165
886	1290	164
887	1291	162
888	1292	161
889	1293	159
890	1295	158
891	1296	157
892	1297	155
893	1299	154
894	1300	152
895	1301	151
896	1302	149
897	1303	148
898	1304	146
899	1306	145
900	1307	143
901	1308	142
902	1309	140
903	1311	139
904	1312	137
905	1313	136
906	1315	134
907	1316	133
908	1317	131
909	1318	130
910	1319	128
911	1320	127
912	1322	125
913	1323	124
914	1324	123
915	1325	121
916	1326	120
917	1328	118
918	1329	117
919	1330	115
920	1331	114
921	1332	112
922	1333	111
923	1335	109
924	1336	108
925	1337	106
926	1338	105
927	1339	103
928	1340	102
929	1342	101
930	1343	99
931	1344	98
932	1345	96
933	1346	95
934	1348	93
935	1349	92
936	1350	90
937	1351	89
938	1352	87
939	1354	86
940	1355	84
941	1356	83
942	1358	82
943	1359	80
944	1360	79
945	1361	77
946	1362	76
947	1363	74
948	1365	73
949	1366	71
950	1367	70
951	1368	69
952	1369	67
953	1370	66
954	1372	64
955	1373	63
956	1374	61
957	1376	60
958	1377	58
959	1378	57
960	1379	55
961	1380	54
962	1382	53
963	1383	51
964	1384	50
965	1385	48
966	1387	47
967	1388	45
968	1389	44
969	1390	43
970	1391	41
971	1393	40
972	1394	38
973	1395	37
974	1396	35
975	1397	34
976	1398	32
977	1400	31
978	1402	30
979	1403	28
980	1404	27
981	1405	25
982	1407	24
983	1408	22
984	1409	21
985	1410	20
986	1411	18
987	1412	17
988	1413	15
989	1415	14
990	1416	12
991	1417	11
992	1419	10
993	1420	8
994	1421	7
995	1422	5
996	1423	4
997	1424	2
998	1425	1
999	1427	0
